"","x2","risk","Rank_Reg_R2","Rank_Reg_beta_slope","Rank_Reg_Lambda_intercept","R2","BETA","ETA","Asset"
"1",1,"Bad Contactor",0.980693457833578,1.00305805293456,0.021297865976253,0.868099131320046,4.33135525729408,52.160905728804,"Circuit Breaker"
"2",2,"Contacts Failure",0.995407771184488,1.03372861924256,0.0195472435557538,0.949312136179992,5.07536486483214,45.6296564880513,"Circuit Breaker"
"3",3,"Control Power Failure",0.998691375075103,0.921465316912837,0.0372395474395152,0.946450820315879,4.38759071402092,46.871796818163,"Circuit Breaker"
"4",4,"Cracked Bushing",0.989180860111132,0.979906460583121,0.0268456819563817,0.933364977480289,3.17284066588559,45.9886923522267,"Circuit Breaker"
"5",5,"Environmental (Freezing, Lightning, etc.)",0.993176762862427,0.973314024955734,0.0300984291524376,0.904725266088284,3.36652829873979,45.6627061631752,"Circuit Breaker"
"6",6,"Gas Leakage",0.994201211905648,1.04495304434126,0.0187075442611119,0.887559551970567,5.26657473509929,45.0547059322386,"Circuit Breaker"
"7",7,"Loss of Control Voltage",0.996885428871291,1.07871280336495,0.0109127277890644,0.75597534889778,4.38438170458312,60.0692934701744,"Circuit Breaker"
"8",8,"Lubrication Failure",0.997465938798254,0.988812561635276,0.0267349029366498,0.910895788923843,6.22162831097748,41.9739098815393,"Circuit Breaker"
"9",9,"Mechanism Spring Failure",0.990956006413389,1.05868236004512,0.0178280954038248,0.846717438085771,3.01883977029708,45.1280967699152,"Circuit Breaker"
"10",10,"Trip/Close Coil (Circuit Breaker)",0.995228986030452,1.04091081788248,0.0183358058505883,0.842611980349685,2.56642163732192,48.2975285836105,"Circuit Breaker"
"11",1,"Brakes",0.997744642960478,1.1070349186902,0.00788747745799293,0.794295581426242,4.44533673749877,68.7302814391287,"Generator Winding, Multi-turn Coil, Stator"
"12",2,"Cooling system malfunction",0.996712942296605,1.06519027103762,0.0169894799056763,0.907022572094401,4.95110756706353,42.9308755753094,"Generator Winding, Multi-turn Coil, Stator"
"13",3,"Electrical connection",0.998691375075103,0.921465316912837,0.0372395474395152,0.946450820315879,4.38759071402092,46.871796818163,"Generator Winding, Multi-turn Coil, Stator"
"14",4,"Electrical insulation - Rotor",0.996660839978562,1.12204944887555,0.0172740470255547,0.90692215345655,4.32790199429864,31.0900126415237,"Generator Winding, Multi-turn Coil, Stator"
"15",5,"Electrical insulation - Stator",0.991037371381424,1.08795002847049,0.0219754088612312,0.952679704511515,4.29874458134391,30.4266779123084,"Generator Winding, Multi-turn Coil, Stator"
"16",6,"Fire",0.993200665795245,1.05322640514482,0.032514627131063,0.94780061700672,3.65263393731702,26.0544654223708,"Generator Winding, Multi-turn Coil, Stator"
"17",7,"Heat Exchanger malfunction",0.997752516270306,0.86811510065946,0.0537919090006894,0.915321121806805,5.72287776234467,41.5374243602523,"Generator Winding, Multi-turn Coil, Stator"
"18",8,"Instrumentation malfunction",0.993375170846821,1.18287832542438,0.00595178794472932,0.868110501736098,4.13328699941975,60.7682662286777,"Generator Winding, Multi-turn Coil, Stator"
"19",9,"Protective Relays or Sensors",0.998031905013932,1.09337622760731,0.0113960787452536,0.834404523060779,2.83638166019522,52.7491764718739,"Generator Winding, Multi-turn Coil, Stator"
"20",10,"Structural - Component Failure",0.993619060245361,1.10175432371283,0.0190226383104629,0.82924104274097,3.36326009059705,34.528942900243,"Generator Winding, Multi-turn Coil, Stator"
"21",11,"Structural - Fatigue",0.995310782051107,1.13979565440026,0.0195211351502619,0.867503201940572,3.28421463462673,26.7619937621741,"Generator Winding, Multi-turn Coil, Stator"
"22",12,"Wiped bearing - Misalignment",0.999354554125811,0.953101223807976,0.0502234114139645,0.980896204617649,9.24084316285204,26.5518875685633,"Generator Winding, Multi-turn Coil, Stator"
"23",13,"Wiped bearing - Vibration",0.978522728115711,1.1128358957643,0.0270665349246692,0.884042553915814,3.29004038541851,24.5335604035302,"Generator Winding, Multi-turn Coil, Stator"
"24",1,"Attached equipment failing/fire - Poles & Overhead Structures",0.998781108770711,1.03803525335399,0.0303585426335897,0.842376791563306,6.61315496921133,28.2658691864572,"Pole"
"25",2,"Environmental Issue",0.996914166386148,1.05631408631223,0.0155664051764096,0.904966579085581,4.61713216867263,48.3952819594496,"Pole"
"26",3,"Ice/wind",0.989507599399367,1.12371504576565,0.0182368776397206,0.799464643041787,2.79942537685809,32.1914967523391,"Pole"
"27",4,"Rot",0.993279150924561,1.05649714326619,0.0132664696760867,0.894235177753873,4.18417085982222,60.1294528403766,"Pole"
"28",5,"Structurally Overloaded",0.991037371381424,1.08795002847049,0.0219754088612312,0.952679704511515,4.29874458134391,30.4266779123084,"Pole"
"29",6,"Unauthorized equipment - Poles & Overhead Structures",0.994201211905648,1.04495304434126,0.0187075442611119,0.887559551970567,5.26657473509929,45.0547059322386,"Pole"
"30",1,"Electrical connection",0.980693457833578,1.00305805293456,0.021297865976253,0.868099131320046,4.33135525729408,52.160905728804,"Stator"
"31",2,"Electrical insulation - Stator",0.998278469891202,1.02669986868334,0.0286355987855846,0.823719780965258,11.2100354937838,32.6931262360522,"Stator"
"32",3,"Protective Relays or Sensors",0.998691375075103,0.921465316912837,0.0372395474395152,0.946450820315879,4.38759071402092,46.871796818163,"Stator"
"33",4,"Structural - Fatigue",0.998335886951895,0.961959876575041,0.0540007879810561,0.967231963462894,4.72418109360422,23.3463131624371,"Stator"
"34",1,"Buchholtz Relay Internal Fault",0.99742602700472,0.953088636438636,0.039740846575371,0.971055457128899,5.29108339307514,35.1317840259823,"Substation Transformer"
"35",2,"Buchholtz Relay Through Fault (Xfmr)",0.998754900658672,1.00734150254015,0.0303100139000568,0.785554778887965,8.44932590872557,34.2571896642138,"Substation Transformer"
"36",3,"Bushing Failure",0.996996725955564,1.05431039525052,0.0222094605823997,0.749819980582893,2.69013318732566,36.7865146440468,"Substation Transformer"
"37",4,"CT Failure",0.995285483425011,0.962182188119561,0.0318533693566901,0.921538488462189,3.32938554086314,44.9377850337653,"Substation Transformer"
"38",5,"Insulation Degradation (Xfmr)",0.991061462087707,1.11580056360557,0.0122108314491265,0.942817757154708,3.03603732789438,48.2243377415917,"Substation Transformer"
"39",1,"Auxiliary System Failure (Turbine)",0.998188372961147,1.1057075674428,0.00858920052036922,0.801855755440754,3.62072879441151,63.6639544924997,"Turbine, Runner"
"40",2,"Bearing Failure",0.995407771184488,1.03372861924256,0.0195472435557538,0.949312136179992,5.07536486483214,45.6296564880513,"Turbine, Runner"
"41",3,"Blown Head Cover (Turbine)",0.986163005186009,0.910040738668304,0.0338791320771744,0.957561533047282,3.30562605798881,54.9681409410726,"Turbine, Runner"
"42",4,"Broken Shear Pin",0.988953680304295,1.07541488027436,0.0092113137107518,0.901971644959415,3.2347373905328,76.2264139384193,"Turbine, Runner"
"43",5,"Cavitation",0.992217529907116,0.930707900199808,0.0253708482938547,0.847927636986838,2.71905643059948,63.5340351512,"Turbine, Runner"
"44",6,"Corrosion",0.994201211905648,1.04495304434126,0.0187075442611119,0.887559551970567,5.26657473509929,45.0547059322386,"Turbine, Runner"
"45",7,"Human Error",0.997940330134478,0.970804850092938,0.0169327095546196,0.801148350347331,7.94889112064019,76.0269135664387,"Turbine, Runner"
"46",8,"Insturmentation Failure",0.987939577559973,1.10065841130364,0.010471133136268,0.868706612798814,4.27905566372188,60.0213672364569,"Turbine, Runner"
"47",9,"Loss of Flow",0.991041012943289,1.15487538842532,0.0126733583785553,0.916989411116883,2.74139500713943,37.891645420419,"Turbine, Runner"
"48",10,"Loss of Governor",0.992001575214149,0.956989622914464,0.0267546141556109,0.963834756664949,4.35577224692488,54.4478719355346,"Turbine, Runner"
"49",11,"Mechanical Problem",0.983095867226139,1.01921278244639,0.0131892377546089,0.905453225000307,3.61329651761094,78.0247478202763,"Turbine, Runner"
"50",12,"Oil Leaks",0.989783664449428,1.05296937588437,0.0122835982427273,0.943897035155041,2.98603856266692,61.5339207212421,"Turbine, Runner"
"51",13,"Plugged",0.994771502819902,1.07999885064498,0.0270496109720214,0.905839777179275,2.78313819124127,27.79421195424,"Turbine, Runner"
"52",14,"Turbine Blade Issue",0.99651362984566,1.08478160983374,0.0140330099160627,0.855875091126372,5.3348619036797,46.7767384449757,"Turbine, Runner"
"53",15,"Wear",0.998501632758325,1.06272301916522,0.0122967278255368,0.85499432639273,6.7079005508354,59.7130174675002,"Turbine, Runner"
"54",16,"Wiped Bearing",0.985307354696915,1.02036476246552,0.0285502005789984,0.924664527386228,3.12331200207878,36.1988168475106,"Turbine, Runner"
